breathe%2:29:00::	200001740-v
take_a_breath%2:29:00::	200001740-v
respire%2:29:00::	200001740-v
suspire%2:29:03::	200001740-v
respire%2:29:01::	200002325-v
respire%2:29:02::	200002573-v
choke%2:29:00::	200002724-v
hyperventilate%2:29:00::	200002942-v
hyperventilate%2:29:01::	200003133-v
aspirate%2:29:00::	200003316-v
burp%2:29:00::	200003443-v
bubble%2:29:00::	200003443-v
belch%2:29:00::	200003443-v
eruct%2:29:00::	200003443-v
force_out%2:29:00::	200003662-v
hiccup%2:29:00::	200003826-v
hiccough%2:29:00::	200003826-v
sigh%2:29:00::	200004032-v
suspire%2:29:04::	200004032-v
exhale%2:29:00::	200004227-v
expire%2:29:00::	200004227-v
breathe_out%2:29:00::	200004227-v
hold%2:29:04::	200004492-v
exhale%2:29:01::	200004605-v
give_forth%2:29:00::	200004605-v
emanate%2:29:00::	200004605-v
sneeze%2:29:00::	200004819-v
inhale%2:29:00::	200005041-v
inspire%2:29:00::	200005041-v
breathe_in%2:29:00::	200005041-v
pant%2:29:00::	200005526-v
puff%2:29:00::	200005526-v
gasp%2:29:00::	200005526-v
heave%2:29:01::	200005526-v
cough%2:29:00::	200005815-v
hack%2:29:00::	200006100-v
whoop%2:29:00::	200006100-v
expectorate%2:29:00::	200006238-v
cough_up%2:29:00::	200006238-v
cough_out%2:29:00::	200006238-v
spit_up%2:29:00::	200006238-v
spit_out%2:29:01::	200006238-v
snort%2:29:00::	200006523-v
wheeze%2:29:00::	200006697-v
puff%2:29:01::	200006802-v
huff%2:29:00::	200006802-v
chuff%2:29:00::	200006802-v
blow%2:29:00::	200007012-v
insufflate%2:29:00::	200007193-v
yawn%2:29:00::	200007328-v
sniff%2:29:00::	200007549-v
sniffle%2:29:00::	200007549-v
blink%2:29:00::	200007739-v
wink%2:29:00::	200007739-v
nictitate%2:29:00::	200007739-v
nictate%2:29:00::	200007739-v
palpebrate%2:29:00::	200008055-v
bat%2:29:00::	200008195-v
flutter%2:29:00::	200008195-v
wink%2:29:02::	200008299-v
wink%2:29:01::	200008435-v
blink%2:29:01::	200008435-v
blink_away%2:29:00::	200008435-v
squint%2:29:00::	200008595-v
squinch%2:29:00::	200008595-v
squint%2:29:02::	200008792-v
wince%2:29:00::	200008970-v
shed%2:29:00::	200009140-v
molt%2:29:00::	200009140-v
exuviate%2:29:00::	200009140-v
moult%2:29:00::	200009140-v
slough%2:29:00::	200009140-v
desquamate%2:29:00::	200009485-v
peel_off%2:29:00::	200009485-v
twitch%2:29:00::	200009624-v
jerk%2:29:00::	200009624-v
fibrillate%2:29:00::	200009877-v
move_involuntarily%2:29:00::	200010047-v
move_reflexively%2:29:00::	200010047-v
act_involuntarily%2:29:00::	200010234-v
act_reflexively%2:29:00::	200010234-v
act%2:29:00::	200010428-v
behave%2:29:00::	200010428-v
do%2:29:09::	200010428-v
fall_over_backwards%2:29:00::	200011354-v
bend_over_backwards%2:29:00::	200011354-v
presume%2:29:00::	200011544-v
vulgarize%2:29:00::	200011691-v
vulgarise%2:29:00::	200011691-v
optimize%2:29:00::	200011845-v
optimise%2:29:00::	200011845-v
quack%2:29:00::	200011975-v
menace%2:29:00::	200012130-v
make%2:29:08::	200012260-v
swagger%2:29:00::	200012427-v
bluster%2:29:00::	200012427-v
swash%2:29:00::	200012427-v
freeze%2:29:02::	200012606-v
wanton%2:29:00::	200012746-v
romanticize%2:29:00::	200012847-v
sentimentalise%2:29:00::	200012937-v
sentimentalize%2:29:00::	200012937-v
sentimentize%2:29:00::	200012937-v
sentimentise%2:29:00::	200012937-v
bungle%2:29:00::	200013165-v
play%2:29:00::	200013321-v
toy%2:29:00::	200013321-v
act%2:29:01::	200013608-v
play%2:29:01::	200013608-v
act_as%2:29:00::	200013608-v
stooge%2:29:00::	200013851-v
shake%2:29:00::	200014027-v
didder%2:29:00::	200014027-v
shiver%2:29:00::	200014194-v
shudder%2:29:00::	200014194-v
rest%2:29:00::	200014398-v
be_active%2:29:00::	200014542-v
move%2:29:06::	200014542-v
sleep%2:29:00::	200014735-v
kip%2:29:00::	200014735-v
slumber%2:29:00::	200014735-v
log_Z's%2:29:00::	200014735-v
catch_some_Z's%2:29:00::	200014735-v
bundle%2:29:00::	200015156-v
practice_bundling%2:29:00::	200015156-v
snooze%2:29:00::	200015296-v
drowse%2:29:01::	200015296-v
doze%2:29:00::	200015296-v
nap%2:29:00::	200015491-v
catnap%2:29:00::	200015491-v
catch_a_wink%2:29:00::	200015491-v
oversleep%2:29:00::	200015706-v
sleep_late%2:29:00::	200015799-v
sleep_in%2:29:00::	200015799-v
hibernate%2:29:00::	200015939-v
hole_up%2:29:00::	200015939-v
estivate%2:29:00::	200016176-v
aestivate%2:29:00::	200016176-v
drowse%2:29:00::	200016373-v
nod%2:29:02::	200016566-v
nod%2:29:03::	200016695-v
zonk_out%2:29:00::	200016848-v
snore%2:29:00::	200017024-v
saw_wood%2:29:00::	200017024-v
saw_logs%2:29:00::	200017024-v
fall_asleep%2:29:00::	200017275-v
dope_off%2:29:00::	200017275-v
flake_out%2:29:00::	200017275-v
drift_off%2:29:00::	200017275-v
nod_off%2:29:00::	200017275-v
drop_off%2:29:00::	200017275-v
doze_off%2:29:00::	200017275-v
drowse_off%2:29:00::	200017275-v
bed_down%2:29:00::	200017524-v
bunk_down%2:29:00::	200017524-v
doss%2:29:00::	200017667-v
doss_down%2:29:00::	200017667-v
crash%2:29:00::	200017667-v
go_to_bed%2:29:00::	200017858-v
turn_in%2:29:00::	200017858-v
bed%2:29:00::	200017858-v
crawl_in%2:29:00::	200017858-v
kip_down%2:29:00::	200017858-v
hit_the_hay%2:29:00::	200017858-v
hit_the_sack%2:29:00::	200017858-v
sack_out%2:29:00::	200017858-v
